Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.5916e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.575e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.6084e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.6292e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 2.0917e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.6125e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.5875e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 2.1375e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.5625e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.5292e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.9167e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.5375e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.525e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.6083e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.6167e-5



Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000116
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.0001205
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000118417
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000116125
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000115
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.00011675
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000113292
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000113
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000113
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000115084
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000111583
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000112125
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.00011275
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.00014125
